episode,reward,length,monitor_activation_freq
1,28.890901,59,1.0
2,64.654789,85,1.0
3,63.894575,94,1.0
4,35.925764,63,1.0
5,27.116227,62,1.0
6,65.182028,103,1.0
7,41.68552,61,1.0
8,51.717014,88,1.0
9,38.173116,64,1.0
10,70.088964,112,1.0
11,74.039289,105,1.0
12,22.372127,46,1.0
13,39.027021,87,1.0
14,30.374425,78,1.0
15,73.985958,108,1.0
16,37.569723,72,1.0
17,39.027813,59,1.0
18,38.04538,58,1.0
19,59.813119,96,1.0
20,64.928943,98,1.0
21,69.313663,101,1.0
22,74.205868,107,1.0
23,54.278161,118,1.0
24,56.540989,98,1.0
25,5.626275,27,1.0
26,36.262649,90,1.0
27,37.172697,75,1.0
28,67.396016,98,1.0
29,67.895788,112,1.0
30,69.403964,80,1.0
31,35.316867,62,1.0
32,69.808301,93,1.0
33,77.526328,99,1.0
34,47.32802,81,1.0
35,72.631185,86,1.0
36,79.67044,101,1.0
37,64.148796,95,1.0
38,70.743824,86,1.0
39,74.631463,95,1.0
40,63.623475,93,1.0
41,49.130253,83,1.0
42,60.977192,118,1.0
43,37.759336,73,1.0
44,30.166577,56,1.0
45,63.817506,106,1.0
46,51.56856,81,1.0
47,61.699509,123,1.0
48,34.925707,62,1.0
49,63.512889,87,1.0
50,48.079458,72,1.0
51,59.922207,76,1.0
52,74.546718,95,1.0
53,79.804523,102,1.0
54,82.256106,84,1.0
55,36.556177,73,1.0
56,68.074264,90,1.0
57,35.181497,59,1.0
58,46.740282,83,1.0
59,59.460857,83,1.0
60,52.573354,97,1.0
61,76.697635,92,1.0
62,75.579769,93,1.0
63,71.263821,86,1.0
64,63.580614,82,1.0
65,70.283045,80,1.0
66,62.676241,99,1.0
67,71.534533,94,1.0
68,81.970613,94,1.0
69,53.455564,88,1.0
70,77.657767,100,1.0
71,53.296588,80,1.0
72,37.103179,59,1.0
73,81.110201,93,1.0
74,42.460959,71,1.0
75,63.961471,71,1.0
76,74.66887,89,1.0
77,82.981333,77,1.0
78,76.990999,79,1.0
79,50.220043,71,1.0
80,57.741034,90,1.0
81,78.614557,76,1.0
82,31.754569,57,1.0
83,70.206091,88,1.0
84,77.078475,93,1.0
85,71.012474,70,1.0
86,83.166053,81,1.0
87,89.285711,102,1.0
88,75.724169,82,1.0
89,75.356691,85,1.0
90,75.334211,81,1.0
91,74.178904,82,1.0
92,25.183978,57,1.0
93,74.637285,73,1.0
94,78.402158,76,1.0
95,76.763322,84,1.0
96,61.583831,76,1.0
97,76.320667,89,1.0
98,31.836611,55,1.0
99,56.728156,80,1.0
100,85.094582,76,1.0
101,60.79145,65,1.0
102,63.303532,78,1.0
103,78.794361,73,1.0
104,76.652525,84,1.0
105,79.282125,78,1.0
106,72.720716,80,1.0
107,84.534578,71,1.0
108,75.273822,73,1.0
109,84.476539,82,1.0
110,84.867858,84,1.0
111,77.340497,70,1.0
112,42.173977,65,1.0
113,75.798514,76,1.0
114,46.745018,54,1.0
115,71.076104,79,1.0
116,76.523351,69,1.0
