episode,reward,length,monitor_activation_freq
1,73.897803,96,0.0
2,68.796772,96,0.0
3,33.528389,66,0.0
4,64.588365,98,0.0
5,41.851479,72,0.0
6,39.218329,79,0.0
7,76.175016,91,0.0
8,59.350169,88,0.0
9,75.361606,113,0.0
10,75.745196,110,0.0
11,66.132699,88,0.0
12,38.316052,89,0.0
13,76.21949,86,0.0
14,73.736849,105,0.0
15,24.53419,47,0.0
16,55.784405,81,0.0
17,47.053867,73,0.0
18,71.38298,101,0.0
19,53.13783,82,0.0
20,40.442702,58,0.0
21,28.144008,56,0.0
22,70.241903,92,0.0
23,71.928809,113,0.0
24,36.365246,69,0.0
25,46.528402,87,0.0
26,73.16066,72,0.0
27,70.793357,84,0.0
28,37.540515,63,0.0
29,62.800938,104,0.0
30,63.619346,84,0.0
31,60.349645,76,0.0
32,43.850526,85,0.0
33,35.197707,65,0.0
34,38.125644,65,0.0
35,73.866018,90,0.0
36,47.673269,72,0.0
37,73.529793,83,0.0
38,52.458714,68,0.0
39,79.141507,95,0.0
40,76.696432,87,0.0
41,67.508152,91,0.0
42,73.668564,90,0.0
43,68.872661,82,0.0
44,63.161465,82,0.0
45,70.090719,86,0.0
46,62.31661,75,0.0
47,43.093366,69,0.0
48,56.693519,80,0.0
49,47.517046,71,0.0
50,27.543137,42,0.0
51,78.458712,84,0.0
52,61.834614,90,0.0
53,28.547022,57,0.0
54,72.432296,73,0.0
55,48.538422,83,0.0
56,36.136228,72,0.0
57,70.744101,86,0.0
58,65.415432,77,0.0
59,70.407424,85,0.0
60,34.070942,57,0.0
61,81.409276,90,0.0
62,61.969685,83,0.0
63,42.428899,61,0.0
64,45.797731,74,0.0
65,67.132498,86,0.0
66,52.50188,90,0.0
67,74.579517,84,0.0
68,68.38911,91,0.0
69,83.095558,96,0.0
70,79.81685,85,0.0
71,54.741345,78,0.0
72,75.821956,89,0.0
73,37.24553,65,0.0
74,46.862442,70,0.0
75,63.963288,87,0.0
76,32.788253,55,0.0
77,54.102406,75,0.0
78,79.300883,84,0.0
79,62.496577,80,0.0
80,70.08768,93,0.0
