episode,reward,length,monitor_activation_freq
1,15.231099,63,0.2857142857142857
2,25.301856,87,0.3448275862068966
3,26.626645,61,0.2786885245901639
4,61.571811,98,0.21428571428571427
5,40.720191,76,0.3815789473684211
6,10.220242,68,0.3088235294117647
7,18.040502,81,0.32098765432098764
8,50.050312,99,0.2727272727272727
9,28.477978,92,0.2826086956521739
10,44.113323,91,0.27472527472527475
11,27.023609,105,0.4
12,26.146928,74,0.32432432432432434
13,44.19368,89,0.34831460674157305
14,20.502703,93,0.2903225806451613
15,13.311633,95,0.3157894736842105
16,33.515472,105,0.3523809523809524
17,11.799149,47,0.2553191489361702
18,40.278676,92,0.32608695652173914
19,34.161312,92,0.34782608695652173
20,42.09391,109,0.26605504587155965
21,32.59154,93,0.34408602150537637
22,13.678476,63,0.3333333333333333
23,37.375578,74,0.28378378378378377
24,16.25137,71,0.19718309859154928
25,-3.646228,74,0.1891891891891892
26,27.391842,53,0.39622641509433965
27,40.750039,84,0.39285714285714285
28,31.719458,74,0.35135135135135137
29,44.842758,89,0.25842696629213485
30,19.967538,67,0.31343283582089554
31,43.864133,81,0.32098765432098764
32,50.301438,91,0.3076923076923077
33,19.057294,70,0.2714285714285714
34,43.627167,89,0.3146067415730337
35,44.022134,75,0.30666666666666664
36,46.402712,77,0.2857142857142857
37,42.610052,80,0.375
38,49.427496,85,0.36470588235294116
39,13.492343,58,0.3103448275862069
40,19.897885,64,0.328125
41,23.680142,59,0.288135593220339
42,56.020042,79,0.26582278481012656
43,54.476505,87,0.3448275862068966
44,39.009223,82,0.34146341463414637
45,24.689116,60,0.3
46,34.39083,87,0.3103448275862069
47,47.651232,87,0.3103448275862069
48,44.725239,83,0.30120481927710846
49,17.232581,62,0.3709677419354839
50,14.875816,66,0.3484848484848485
51,43.303304,89,0.30337078651685395
52,4.815509,27,0.3333333333333333
53,30.338714,74,0.21621621621621623
54,53.541925,87,0.2413793103448276
55,51.844957,75,0.26666666666666666
56,22.394585,64,0.1875
57,22.730862,62,0.3064516129032258
58,52.854395,73,0.2602739726027397
59,53.546202,85,0.25882352941176473
60,53.083611,75,0.28
61,49.898476,71,0.30985915492957744
62,34.587513,79,0.27848101265822783
63,43.167924,72,0.2361111111111111
64,34.461399,95,0.29473684210526313
65,37.755806,73,0.2876712328767123
66,47.554889,77,0.2727272727272727
67,55.898872,79,0.20253164556962025
68,48.06996,73,0.3013698630136986
69,22.717972,55,0.32727272727272727
70,60.963528,79,0.20253164556962025
71,44.399315,64,0.296875
72,44.714254,81,0.3333333333333333
73,52.132093,79,0.27848101265822783
74,46.429608,79,0.26582278481012656
